Year,CO2
1900,295.55
1901,295.3
1902,295.05
1903,294.8
1904,295.85
1905,296.9
1906,297.47499999999997
1907,298.04999999999995
1908,298.625
1909,299.2
1910,299.41666666666663
1911,299.6333333333333
1912,299.85
1913,300.06666666666666
1914,300.2833333333333
1915,300.5
1916,300.68333333333334
1917,300.8666666666667
1918,301.05
1919,301.23333333333335
1920,301.4166666666667
1921,301.6
1922,302.25
1923,302.90000000000003
1924,303.55
1925,304.2
1926,304.85
1927,305.5
1928,305.6375
1929,305.775
1930,305.9125
1931,306.05
1932,306.1875
1933,306.32500000000005
1934,306.46250000000003
1935,306.6
1936,306.76250000000005
1937,306.925
1938,307.0875
1939,307.25
1940,307.4125
1941,307.575
1942,307.73749999999995
1943,307.9
1944,308.38
1945,308.85999999999996
1946,309.34
1947,309.82
1948,310.29999999999995
1949,310.78
1950,311.26
1951,311.74
1952,312.21999999999997
1953,312.7
1954,313.245
1955,313.79
1956,314.33500000000004
1957,314.88
1958,315.425
1959,315.97
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.38
1967,322.16
1968,323.04
1969,324.62
1970,325.68
1971,326.32
1972,327.45
1973,329.68
1974,330.18
1975,331.08
1976,332.05
1977,333.78
1978,335.41
1979,336.78
1980,338.68
1981,340.1
1982,341.44
1983,343.03
1984,344.58
1985,346.04
1986,347.39
1987,349.16
1988,351.56
1989,353.07
1990,354.35
1991,355.57
1992,356.38
1993,357.07
1994,358.82
1995,360.8
1996,362.59
1997,363.71
1998,366.65
1999,368.33
2000,369.52
2001,371.13
2002,373.22
2003,375.77
2004,377.49
2005,379.8
2006,381.9
2007,383.76
2008,385.59
2009,387.37
2010,389.85
2011,391.63
2012,393.82
2013,396.48
2014,398.55
